Compound,Date,Negative,Neutral,Positive,Tweet Count,User
0.0,Wed Dec 13 20:17:20 +0000 2017,0.111,0.779,0.111,45,@CNN
0.0,Wed Dec 13 20:17:19 +0000 2017,0.0,1.0,0.0,46,@CNN
0.7955,Wed Dec 13 20:17:18 +0000 2017,0.0,0.69,0.31,47,@CNN
0.8941,Wed Dec 13 20:17:18 +0000 2017,0.068,0.517,0.415,48,@CNN
-0.0516,Wed Dec 13 20:17:18 +0000 2017,0.05,0.95,0.0,49,@CNN
0.0,Wed Dec 13 20:17:17 +0000 2017,0.0,1.0,0.0,50,@CNN
0.5994,Wed Dec 13 20:17:17 +0000 2017,0.0,0.837,0.163,51,@CNN
0.7263,Wed Dec 13 20:17:16 +0000 2017,0.0,0.767,0.233,52,@CNN
-0.4019,Wed Dec 13 20:17:16 +0000 2017,0.144,0.769,0.087,53,@CNN
0.0,Wed Dec 13 20:17:15 +0000 2017,0.0,1.0,0.0,54,@CNN
-0.296,Wed Dec 13 20:17:15 +0000 2017,0.155,0.75,0.095,55,@CNN
0.0,Wed Dec 13 20:17:15 +0000 2017,0.0,1.0,0.0,56,@CNN
0.5106,Wed Dec 13 20:17:15 +0000 2017,0.0,0.837,0.163,57,@CNN
0.6369,Wed Dec 13 20:17:14 +0000 2017,0.0,0.792,0.208,58,@CNN
0.0,Wed Dec 13 20:17:14 +0000 2017,0.0,1.0,0.0,59,@CNN
0.7213,Wed Dec 13 20:17:12 +0000 2017,0.0,0.699,0.301,60,@CNN
0.0,Wed Dec 13 20:17:12 +0000 2017,0.0,1.0,0.0,61,@CNN
-0.4019,Wed Dec 13 20:17:12 +0000 2017,0.144,0.769,0.087,62,@CNN
-0.7783,Wed Dec 13 20:17:11 +0000 2017,0.313,0.583,0.104,63,@CNN
0.0,Wed Dec 13 20:17:11 +0000 2017,0.0,1.0,0.0,64,@CNN
-0.8689,Wed Dec 13 20:17:10 +0000 2017,0.583,0.417,0.0,65,@CNN
-0.3009,Wed Dec 13 20:17:10 +0000 2017,0.145,0.855,0.0,66,@CNN
0.0,Wed Dec 13 20:17:10 +0000 2017,0.0,1.0,0.0,67,@CNN
0.3527,Wed Dec 13 20:17:09 +0000 2017,0.139,0.643,0.218,68,@CNN
0.0,Wed Dec 13 20:17:09 +0000 2017,0.0,1.0,0.0,69,@CNN
0.0,Wed Dec 13 20:17:08 +0000 2017,0.0,1.0,0.0,70,@CNN
-0.0516,Wed Dec 13 20:17:07 +0000 2017,0.05,0.95,0.0,71,@CNN
-0.0516,Wed Dec 13 20:17:07 +0000 2017,0.05,0.95,0.0,72,@CNN
0.6249,Wed Dec 13 20:17:06 +0000 2017,0.0,0.797,0.203,73,@CNN
0.0,Wed Dec 13 20:17:06 +0000 2017,0.0,1.0,0.0,74,@CNN
-0.4019,Wed Dec 13 20:17:06 +0000 2017,0.144,0.769,0.087,75,@CNN
-0.4019,Wed Dec 13 20:17:05 +0000 2017,0.184,0.816,0.0,76,@CNN
-0.4019,Wed Dec 13 20:17:04 +0000 2017,0.144,0.769,0.087,77,@CNN
-0.0516,Wed Dec 13 20:17:04 +0000 2017,0.05,0.95,0.0,78,@CNN
-0.6206,Wed Dec 13 20:17:03 +0000 2017,0.337,0.663,0.0,79,@CNN
0.3182,Wed Dec 13 20:17:03 +0000 2017,0.0,0.892,0.108,80,@CNN
0.0,Wed Dec 13 20:17:02 +0000 2017,0.0,1.0,0.0,81,@CNN
